minecraft,en_us,zh_cn
dead_tube_coral_block,Dead Tube Coral Block,失活的管珊瑚块
dead_tube_coral_fan,Dead Tube Coral Fan,失活的管珊瑚扇
dead_tube_coral_wall_fan,Dead Tube Coral Wall Fan,墙上的失活管珊瑚扇
dead_brain_coral,Dead Brain Coral,失活的脑纹珊瑚
dead_brain_coral_block,Dead Brain Coral Block,失活的脑纹珊瑚块
dead_brain_coral_fan,Dead Brain Coral Fan,失活的脑纹珊瑚扇
dead_brain_coral_wall_fan,Dead Brain Coral Wall Fan,墙上的失活脑纹珊瑚扇
dead_bubble_coral,Dead Bubble Coral,失活的气泡珊瑚
dead_bubble_coral_block,Dead Bubble Coral Block,失活的气泡珊瑚块
dead_bubble_coral_fan,Dead Bubble Coral Fan,失活的气泡珊瑚扇
dead_bubble_coral_wall_fan,Dead Bubble Coral Wall Fan,墙上的失活气泡珊瑚扇
dead_fire_coral,Dead Fire Coral,失活的火珊瑚
dead_fire_coral_block,Dead Fire Coral Block,失活的火珊瑚块
dead_fire_coral_fan,Dead Fire Coral Fan,失活的火珊瑚扇
dead_fire_coral_wall_fan,Dead Fire Coral Wall Fan,墙上的失活火珊瑚扇
dead_horn_coral,Dead Horn Coral,失活的鹿角珊瑚
dead_horn_coral_block,Dead Horn Coral Block,失活的鹿角珊瑚块
dead_horn_coral_fan,Dead Horn Coral Fan,失活的鹿角珊瑚扇
dead_horn_coral_wall_fan,Dead Horn Coral Wall Fan,墙上的失活鹿角珊瑚扇
@items,@Items,@物品
white_dye,White Dye,白色染料
light_gray_dye,Light Gray Dye,淡灰色染料
gray_dye,Gray Dye,灰色染料
black_dye,Black Dye,黑色染料
brown_dye,Brown Dye,棕色染料
red_dye,Red Dye,红色染料
orange_dye,Orange Dye,橙色染料
yellow_dye,Yellow Dye,黄色染料
lime_dye,Lime Dye,黄绿色染料
green_dye,Green Dye,绿色染料
cyan_dye,Cyan Dye,青色染料
light_blue_dye,Light Blue Dye,淡蓝色染料
blue_dye,Blue Dye,蓝色染料
purple_dye,Purple Dye,紫色染料
magenta_dye,Magenta Dye,品红色染料
pink_dye,Pink Dye,粉红色染料
,,
bordure_indented_banner_pattern,Bordure Indented Banner Pattern,波纹边旗帜图案
creeper_banner_pattern,Creeper Charge Banner Pattern,苦力怕盾徽旗帜图案
field_masoned_banner_pattern,Field Masoned Banner Pattern,砖纹旗帜图案
flow_banner_pattern,Flow Banner Pattern,涡流旗帜图案
flower_banner_pattern,Flower Charge Banner Pattern,花朵盾徽旗帜图案
globe_banner_pattern,Globe Banner Pattern,地球旗帜图案
guster_banner_pattern,Guster Banner Pattern,旋风旗帜图案
mojang_banner_pattern,Thing Banner Pattern,Mojang徽标旗帜图案
piglin_banner_pattern,Snout Banner Pattern,猪鼻旗帜图案
skull_banner_pattern,Skull Charge Banner Pattern,头颅盾徽旗帜图案
,,
smithing_template,Smithing Template,锻造模板
netherite_upgrade_smithing_template.new,Netherite Upgrade Smithing Template,下界合金升级锻造模板
bolt_armor_trim_smithing_template.new,Bolt Armor Trim Smithing Template,镶铆盔甲纹饰锻造模板
coast_armor_trim_smithing_template.new,Coast Armor Trim Smithing Template,海岸盔甲纹饰锻造模板
dune_armor_trim_smithing_template.new,Dune Armor Trim Smithing Template,沙丘盔甲纹饰锻造模板
eye_armor_trim_smithing_template.new,Eye Armor Trim Smithing Template,眼眸盔甲纹饰锻造模板
flow_armor_trim_smithing_template.new,Flow Armor Trim Smithing Template,涡流盔甲纹饰锻造模板
host_armor_trim_smithing_template.new,Host Armor Trim Smithing Template,雇主盔甲纹饰锻造模板
raiser_armor_trim_smithing_template.new,Raiser Armor Trim Smithing Template,牧民盔甲纹饰锻造模板
rib_armor_trim_smithing_template.new,Rib Armor Trim Smithing Template,肋骨盔甲纹饰锻造模板
sentry_armor_trim_smithing_template.new,Sentry Armor Trim Smithing Template,哨兵盔甲纹饰锻造模板
shaper_armor_trim_smithing_template.new,Shaper Armor Trim Smithing Template,塑造盔甲纹饰锻造模板
silence_armor_trim_smithing_template.new,Silence Armor Trim Smithing Template,幽静盔甲纹饰锻造模板
snout_armor_trim_smithing_template.new,Snout Armor Trim Smithing Template,猪鼻盔甲纹饰锻造模板
spire_armor_trim_smithing_template.new,Spire Armor Trim Smithing Template,尖塔盔甲纹饰锻造模板
tide_armor_trim_smithing_template.new,Tide Armor Trim Smithing Template,潮汐盔甲纹饰锻造模板
vex_armor_trim_smithing_template.new,Vex Armor Trim Smithing Template,恼鬼盔甲纹饰锻造模板
ward_armor_trim_smithing_template.new,Ward Armor Trim Smithing Template,监守盔甲纹饰锻造模板
wayfinder_armor_trim_smithing_template.new,Wayfinder Armor Trim Smithing Template,向导盔甲纹饰锻造模板
wild_armor_trim_smithing_template.new,Wild Armor Trim Smithing Template,荒野盔甲纹饰锻造模板
,,
angler_pottery_sherd,Angler Pottery Sherd,垂钓纹样陶片
archer_pottery_sherd,Archer Pottery Sherd,弓箭纹样陶片
arms_up_pottery_sherd,Arms Up Pottery Sherd,举臂纹样陶片
blade_pottery_sherd,Blade Pottery Sherd,利刃纹样陶片
brewer_pottery_sherd,Brewer Pottery Sherd,佳酿纹样陶片
burn_pottery_sherd,Burn Pottery Sherd,烈焰纹样陶片
danger_pottery_sherd,Danger Pottery Sherd,危机纹样陶片
explorer_pottery_sherd,Explorer Pottery Sherd,探险纹样陶片
flow_pottery_sherd,Flow Pottery Sherd,涡流纹样陶片
friend_pottery_sherd,Friend Pottery Sherd,挚友纹样陶片
guster_pottery_sherd,Guster Pottery Sherd,旋风纹样陶片
heart_pottery_sherd,Heart Pottery Sherd,爱心纹样陶片
heartbreak_pottery_sherd,Heartbreak Pottery Sherd,心碎纹样陶片
howl_pottery_sherd,Howl Pottery Sherd,狼嚎纹样陶片
miner_pottery_sherd,Miner Pottery Sherd,采矿纹样陶片
mourner_pottery_sherd,Mourner Pottery Sherd,悲恸纹样陶片
plenty_pottery_sherd,Plenty Pottery Sherd,富饶纹样陶片
prize_pottery_sherd,Prize Pottery Sherd,珍宝纹样陶片
scrape_pottery_sherd,Scrape Pottery Sherd,刮削纹样陶片
sheaf_pottery_sherd,Sheaf Pottery Sherd,麦捆纹样陶片
shelter_pottery_sherd,Shelter Pottery Sherd,树荫纹样陶片
skull_pottery_sherd,Skull Pottery Sherd,头颅纹样陶片
snort_pottery_sherd,Snort Pottery Sherd,嗅探纹样陶片
,,
disc_fragment_5,Disc Fragment,唱片残片
music_disc_11,Music Disc,音乐唱片
music_disc_13,Music Disc,音乐唱片
music_disc_5,Music Disc,音乐唱片
music_disc_blocks,Music Disc,音乐唱片
music_disc_cat,Music Disc,音乐唱片
music_disc_chirp,Music Disc,音乐唱片
music_disc_creator,Music Disc,音乐唱片
music_disc_creator_music_box,Music Disc,音乐唱片
music_disc_far,Music Disc,音乐唱片
music_disc_lava_chicken,Music Disc,音乐唱片
music_disc_mall,Music Disc,音乐唱片
music_disc_mellohi,Music Disc,音乐唱片
music_disc_otherside,Music Disc,音乐唱片
music_disc_pigstep,Music Disc,音乐唱片
music_disc_precipice,Music Disc,音乐唱片
music_disc_relic,Music Disc,音乐唱片
music_disc_stal,Music Disc,音乐唱片
music_disc_strad,Music Disc,音乐唱片
music_disc_tears,Music Disc,音乐唱片
music_disc_wait,Music Disc,音乐唱片
music_disc_ward,Music Disc,音乐唱片
,,
cod_bucket,Bucket of Cod,鳕鱼桶
salmon_bucket,Bucket of Salmon,鲑鱼桶
tropical_fish_bucket,Bucket of Tropical Fish,热带鱼桶
pufferfish_bucket,Bucket of Pufferfish,河豚桶
axolotl_bucket,Bucket of Axolotl,美西螈桶
tadpole_bucket,Bucket of Tadpole,蝌蚪桶
,,
stick,Stick,木棍
paper,Paper,纸
nether_brick,Nether Brick,下界砖
brick,Brick,红砖
resin_clump,Resin Clump,树脂团
resin_brick,Resin Brick,树脂砖
snowball,Snowball,雪球
powder_snow_bucket,Powder Snow Bucket,细雪桶
clay_ball,Clay Ball,黏土球
glowstone_dust,Glowstone Dust,荧石粉
charcoal,Charcoal,木炭
flint,Flint,燧石
quartz,Nether Quartz,下界石英
raw_iron,Raw Iron,粗铁
raw_copper,Raw Copper,粗铜
raw_gold,Raw Gold,粗金
iron_nugget,Iron Nugget,铁粒
copper_nugget,Copper Nugget,铜粒
gold_nugget,Gold Nugget,金粒
coal,Coal,煤炭
lapis_lazuli,Lapis Lazuli,青金石
iron_ingot,Iron Ingot,铁锭
copper_ingot,Copper Ingot,铜锭
gold_ingot,Gold Ingot,金锭
diamond,Diamond,钻石
emerald,Emerald,绿宝石
netherite_scrap,Netherite Scrap,下界合金碎片
netherite_ingot,Netherite Ingot,下界合金锭
heart_of_the_sea,Heart of the Sea,海洋之心
,,
bowl,Bowl,碗
bucket,Bucket,铁桶
glass_bottle,Glass Bottle,玻璃瓶
potion,Potion,药水
splash_potion,Splash Potion,喷溅药水
lingering_potion,Lingering Potion,滞留药水
dragon_breath,Dragon's Breath,龙息
book,Book,书
enchanted_book,Enchanted Book,附魔书
writable_book,Book and Quill,书与笔
written_book,Written Book,成书
map,Empty Map,空地图
filled_map,Map,地图
name_tag,Name Tag,命名牌
armor_stand,Armor Stand,盔甲架
end_crystal,End Crystal,末地水晶
painting,Painting,画
item_frame,Item Frame,物品展示框
glow_item_frame,Glow Item Frame,荧光物品展示框
lead,Lead,拴绳
fire_charge,Fire Charge,火焰弹
firework_rocket,Firework Rocket,烟花火箭
firework_star,Firework Star,烟火之星
ender_eye,Eye of Ender,末影之眼
experience_bottle,Bottle o' Enchanting,附魔之瓶
clock,Clock,时钟
compass,Compass,指南针
lodestone_compass,Lodestone Compass,磁石指针
recovery_compass,Recovery Compass,追溯指针
,,
echo_shard,Echo Shard,回响碎片
sugar,Sugar,糖
bread,Bread,面包
pumpkin_pie,Pumpkin Pie,南瓜派
cookie,Cookie,曲奇
apple,Apple,苹果
golden_apple,Golden Apple,金苹果
enchanted_golden_apple,Enchanted Golden Apple,附魔金苹果
golden_carrot,Golden Carrot,金胡萝卜
glistering_melon_slice,Glistering Melon Slice,闪烁的西瓜片
milk_bucket,Milk Bucket,奶桶
honey_bottle,Honey Bottle,蜂蜜瓶
beetroot_soup,Beetroot Soup,甜菜汤
mushroom_stew,Mushroom Stew,蘑菇煲
rabbit_stew,Rabbit Stew,兔肉煲
suspicious_stew,Suspicious Stew,谜之炖菜
leather,Leather,皮革
egg,Egg,鸡蛋
brown_egg,Brown Egg,棕色鸡蛋
blue_egg,Blue Egg,蓝色鸡蛋
feather,Feather,羽毛
rabbit_foot,Rabbit's Foot,兔子脚
rabbit_hide,Rabbit Hide,兔子皮
goat_horn,Goat Horn,山羊角
honeycomb,Honeycomb,蜜脾
armadillo_scute,Armadillo Scute,犰狳鳞甲
scute,Scute,鳞甲
ink_sac,Ink Sac,墨囊
glow_ink_sac,Glow Ink Sac,荧光墨囊
turtle_scute,Turtle Scute,海龟鳞甲
porkchop,Raw Porkchop,生猪排
beef,Raw Beef,生牛肉
mutton,Raw Mutton,生羊肉
chicken,Raw Chicken,生鸡肉
rabbit,Raw Rabbit,生兔肉
cooked_porkchop,Cooked Porkchop,熟猪排
cooked_beef,Steak,牛排
cooked_mutton,Cooked Mutton,熟羊肉
cooked_chicken,Cooked Chicken,熟鸡肉
cooked_rabbit,Cooked Rabbit,熟兔肉
cod,Raw Cod,生鳕鱼
cooked_cod,Cooked Cod,熟鳕鱼
salmon,Raw Salmon,生鲑鱼
cooked_salmon,Cooked Salmon,熟鲑鱼
tropical_fish,Tropical Fish,热带鱼
pufferfish,Pufferfish,河豚
,,
rotten_flesh,Rotten Flesh,腐肉
gunpowder,Gunpowder,火药
arrow,Arrow,箭
spectral_arrow,Spectral Arrow,光灵箭
tipped_arrow,Tipped Arrow,药箭
bone,Bone,骨头
bone_meal,Bone Meal,骨粉
spider_eye,Spider Eye,蜘蛛眼
fermented_spider_eye,Fermented Spider Eye,发酵蛛眼
slime_ball,Slimeball,黏液球
prismarine_crystals,Prismarine Crystals,海晶砂粒
prismarine_shard,Prismarine Shard,海晶碎片
phantom_membrane,Phantom Membrane,幻翼膜
nautilus_shell,Nautilus Shell,鹦鹉螺壳
ghast_tear,Ghast Tear,恶魂之泪
blaze_rod,Blaze Rod,烈焰棒
blaze_powder,Blaze Powder,烈焰粉
magma_cream,Magma Cream,岩浆膏
nether_star,Nether Star,下界之星
ender_pearl,Ender Pearl,末影珍珠
shulker_shell,Shulker Shell,潜影壳
wind_charge,Wind Charge,风弹
breeze_rod,Breeze Rod,旋风棒
ominous_bottle,Ominous Bottle,不祥之瓶
trial_key,Trial Key,试炼钥匙
ominous_trial_key,Ominous Trial Key,不祥试炼钥匙
@equipments,@Equipments,@装备
bundle,Bundle,收纳袋
white_bundle,White Bundle,白色收纳袋
light_gray_bundle,Light Gray Bundle,淡灰色收纳袋
gray_bundle,Gray Bundle,灰色收纳袋
black_bundle,Black Bundle,黑色收纳袋
brown_bundle,Brown Bundle,棕色收纳袋
red_bundle,Red Bundle,红色收纳袋
orange_bundle,Orange Bundle,橙色收纳袋
yellow_bundle,Yellow Bundle,黄色收纳袋
lime_bundle,Lime Bundle,黄绿色收纳袋
green_bundle,Green Bundle,绿色收纳袋
cyan_bundle,Cyan Bundle,青色收纳袋
light_blue_bundle,Light Blue Bundle,淡蓝色收纳袋
blue_bundle,Blue Bundle,蓝色收纳袋
purple_bundle,Purple Bundle,紫色收纳袋
magenta_bundle,Magenta Bundle,品红色收纳袋
pink_bundle,Pink Bundle,粉红色收纳袋
,,
harness,Harness,挽具
white_harness,White Harness,白色挽具
light_gray_harness,Light Gray Harness,淡灰色挽具
gray_harness,Gray Harness,灰色挽具
black_harness,Black Harness,黑色挽具
brown_harness,Brown Harness,棕色挽具
red_harness,Red Harness,红色挽具
orange_harness,Orange Harness,橙色挽具
yellow_harness,Yellow Harness,黄色挽具
lime_harness,Lime Harness,黄绿色挽具
green_harness,Green Harness,绿色挽具
cyan_harness,Cyan Harness,青色挽具
light_blue_harness,Light Blue Harness,淡蓝色挽具
blue_harness,Blue Harness,蓝色挽具
purple_harness,Purple Harness,紫色挽具
magenta_harness,Magenta Harness,品红色挽具
pink_harness,Pink Harness,粉红色挽具
,,
elytra,Elytra,鞘翅
saddle,Saddle,鞍
turtle_helmet,Turtle Shell,海龟壳
trident,Trident,三叉戟
bow,Bow,弓
crossbow,Crossbow,弩
mace,Mace,重锤
shield,Shield,盾牌
totem_of_undying,Totem of Undying,不死图腾
,,
wolf_armor,Wolf Armor,狼铠
leather_horse_armor,Leather Horse Armor,皮革马铠
iron_horse_armor,Iron Horse Armor,铁马铠
copper_horse_armor,Copper Horse Armor,铜马铠
golden_horse_armor,Golden Horse Armor,金马铠
diamond_horse_armor,Diamond Horse Armor,钻石马铠
,,
leather_boots,Leather Boots,皮革靴子
leather_chestplate,Leather Tunic,皮革外套
leather_helmet,Leather Cap,皮革帽子
leather_leggings,Leather Pants,皮革裤子
,,
copper_helmet,Copper Helmet,铜头盔
copper_chestplate,Copper Chestplate,铜胸甲
copper_leggings,Copper Leggings,铜护腿
copper_boots,Copper Boots,铜靴子
,,
golden_helmet,Golden Helmet,金头盔
golden_chestplate,Golden Chestplate,金胸甲
golden_leggings,Golden Leggings,金护腿
golden_boots,Golden Boots,金靴子
,,
chainmail_helmet,Chainmail Helmet,锁链头盔
chainmail_chestplate,Chainmail Chestplate,锁链胸甲
chainmail_leggings,Chainmail Leggings,锁链护腿
chainmail_boots,Chainmail Boots,锁链靴子
,,
iron_helmet,Iron Helmet,铁头盔
iron_chestplate,Iron Chestplate,铁胸甲
iron_leggings,Iron Leggings,铁护腿
iron_boots,Iron Boots,铁靴子
,,
diamond_helmet,Diamond Helmet,钻石头盔
diamond_chestplate,Diamond Chestplate,钻石胸甲
diamond_leggings,Diamond Leggings,钻石护腿
diamond_boots,Diamond Boots,钻石靴子
,,
netherite_helmet,Netherite Helmet,下界合金头盔
netherite_chestplate,Netherite Chestplate,下界合金胸甲
netherite_leggings,Netherite Leggings,下界合金护腿
netherite_boots,Netherite Boots,下界合金靴子
,,
flint_and_steel,Flint and Steel,打火石
shears,Shears,剪刀
brush,Brush,刷子
fishing_rod,Fishing Rod,钓鱼竿
carrot_on_a_stick,Carrot on a Stick,胡萝卜钓竿
warped_fungus_on_a_stick,Warped Fungus on a Stick,诡异菌钓竿
spyglass,Spyglass,望远镜
,,
wooden_pickaxe,Wooden Pickaxe,木镐
wooden_axe,Wooden Axe,木斧
wooden_shovel,Wooden Shovel,木锹
wooden_hoe,Wooden Hoe,木锄
wooden_sword,Wooden Sword,木剑
,,
stone_pickaxe,Stone Pickaxe,石镐
stone_axe,Stone Axe,石斧
stone_shovel,Stone Shovel,石锹
stone_hoe,Stone Hoe,石锄
stone_sword,Stone Sword,石剑
,,
copper_pickaxe,Copper Pickaxe,铜镐
copper_axe,Copper Axe,铜斧
copper_shovel,Copper Shovel,铜锹
copper_hoe,Copper Hoe,铜锄
copper_sword,Copper Sword,铜剑
,,
iron_pickaxe,Iron Pickaxe,铁镐
iron_axe,Iron Axe,铁斧
iron_shovel,Iron Shovel,铁锹
iron_hoe,Iron Hoe,铁锄
iron_sword,Iron Sword,铁剑
,,
diamond_pickaxe,Diamond Pickaxe,钻石镐
diamond_axe,Diamond Axe,钻石斧
diamond_shovel,Diamond Shovel,钻石锹
diamond_hoe,Diamond Hoe,钻石锄
diamond_sword,Diamond Sword,钻石剑
,,
netherite_pickaxe,Netherite Pickaxe,下界合金镐
netherite_axe,Netherite Axe,下界合金斧
netherite_shovel,Netherite Shovel,下界合金锹
netherite_hoe,Netherite Hoe,下界合金锄
netherite_sword,Netherite Sword,下界合金剑
,,
golden_pickaxe,Golden Pickaxe,金镐
golden_axe,Golden Axe,金斧
golden_shovel,Golden Shovel,金锹
golden_hoe,Golden Hoe,金锄
golden_sword,Golden Sword,金剑
@illegals,@Illegals,@非法方块
infested_cobblestone,Infested Cobblestone,虫蚀圆石
infested_mossy_stone_bricks,Infested Mossy Stone Bricks,虫蚀苔石砖
infested_stone,Infested Stone,虫蚀石头
infested_stone_bricks,Infested Stone Bricks,虫蚀石砖
infested_chiseled_stone_bricks,Infested Chiseled Stone Bricks,虫蚀雕纹石砖
infested_cracked_stone_bricks,Infested Cracked Stone Bricks,虫蚀裂纹石砖
infested_deepslate,Infested Deepslate,虫蚀深板岩
reinforced_deepslate,Reinforced Deepslate,强化深板岩
frosted_ice,Frosted Ice,霜冰
fire,Fire,火
soul_fire,Soul Fire,灵魂火
bedrock,Bedrock,基岩
budding_amethyst,Budding Amethyst,紫水晶母岩
chorus_plant,Chorus Plant,紫颂植株
frogspawn,Frogspawn,青蛙卵
piston_head,Piston Head,活塞头
moving_piston,Moving Piston,移动的活塞
nether_portal,Nether Portal,下界传送门
end_portal_frame,End Portal Frame,末地传送门框架
end_portal,End Portal,末地传送门
end_gateway,End Gateway,末地折跃门
trial_spawner,Trial Spawner,试炼刷怪笼
spawner,Monster Spawner,刷怪笼
vault,Vault,宝库
,,
player_head,Player Head,玩家的头
player_wall_head,Player Wall Head,墙上的玩家的头
petrified_oak_slab,Petrified Oak Slab,石化橡木台阶
knowledge_book,Knowledge Book,知识之书
barrier,Barrier,屏障
command_block,Command Block,命令方块
chain_command_block,Chain Command Block,连锁型命令方块
repeating_command_block,Repeating Command Block,循环型命令方块
structure_block,Structure Block,结构方块
structure_void,Structure Void,结构空位
jigsaw,Jigsaw Block,拼图方块
light,Light,光源方块
test_block,Test Block,测试方块
test_instance_block,Test Instance Block,测试实例方块
command_block_minecart,Minecart with Command Block,命令方块矿车
spawner_minecart,Minecart with Monster Spawner,刷怪笼矿车
debug_stick,Debug Stick,调试棒
,,
copper_block,Block of Copper,铜块
cut_copper,Cut Copper,切制铜块
cut_copper_slab,Cut Copper Slab,切制铜台阶
cut_copper_stairs,Cut Copper Stairs,切制铜楼梯
chiseled_copper,Chiseled Copper,雕纹铜块
copper_grate,Copper Grate,铜格栅
copper_bulb,Copper Bulb,铜灯
copper_trapdoor,Copper Trapdoor,铜活板门
copper_door,Copper Door,铜门
copper_chest,Copper Chest,铜箱子
,,
exposed_copper,Exposed Copper,斑驳的铜块
exposed_cut_copper,Exposed Cut Copper,斑驳的切制铜块
exposed_cut_copper_slab,Exposed Cut Copper Slab,斑驳的切制铜台阶
exposed_cut_copper_stairs,Exposed Cut Copper Stairs,斑驳的切制铜楼梯
exposed_chiseled_copper,Exposed Chiseled Copper,斑驳的雕纹铜块
exposed_copper_grate,Exposed Copper Grate,斑驳的铜格栅
exposed_copper_bulb,Exposed Copper Bulb,斑驳的铜灯
exposed_copper_trapdoor,Exposed Copper Trapdoor,斑驳的铜活板门
exposed_copper_door,Exposed Copper Door,斑驳的铜门
exposed_copper_chest,Exposed Copper Chest,斑驳的铜箱子
,,
weathered_copper,Weathered Copper,锈蚀的铜块
weathered_cut_copper,Weathered Cut Copper,锈蚀的切制铜块
weathered_cut_copper_slab,Weathered Cut Copper Slab,锈蚀的切制铜台阶
weathered_cut_copper_stairs,Weathered Cut Copper Stairs,锈蚀的切制铜楼梯
weathered_chiseled_copper,Weathered Chiseled Copper,锈蚀的雕纹铜块
weathered_copper_grate,Weathered Copper Grate,锈蚀的铜格栅
weathered_copper_bulb,Weathered Copper Bulb,锈蚀的铜灯
weathered_copper_trapdoor,Weathered Copper Trapdoor,锈蚀的铜活板门
weathered_copper_door,Weathered Copper Door,锈蚀的铜门
weathered_copper_chest,Weathered Copper Chest,锈蚀的铜箱子
,,
oxidized_copper,Oxidized Copper,氧化的铜块
oxidized_cut_copper,Oxidized Cut Copper,氧化的切制铜块
oxidized_cut_copper_slab,Oxidized Cut Copper Slab,氧化的切制铜台阶
oxidized_cut_copper_stairs,Oxidized Cut Copper Stairs,氧化的切制铜楼梯
oxidized_chiseled_copper,Oxidized Chiseled Copper,氧化的雕纹铜块
oxidized_copper_grate,Oxidized Copper Grate,氧化的铜格栅
oxidized_copper_bulb,Oxidized Copper Bulb,氧化的铜灯
oxidized_copper_trapdoor,Oxidized Copper Trapdoor,氧化的铜活板门
oxidized_copper_door,Oxidized Copper Door,氧化的铜门
oxidized_copper_chest,Oxidized Copper Chest,氧化的铜箱子
@entities,@Entities,@实体
minecart,Minecart,矿车
hopper_minecart,Minecart with Hopper,漏斗矿车
chest_minecart,Minecart with Chest,运输矿车
furnace_minecart,Minecart with Furnace,动力矿车
tnt_minecart,Minecart with TNT,TNT矿车
,,
boat,Boat,船
chest_boat,Boat with Chest,运输船
cherry_boat,Cherry Boat,樱花木船
cherry_chest_boat,Cherry Boat with Chest,樱花木运输船
acacia_boat,Acacia Boat,金合欢木船
acacia_chest_boat,Acacia Boat with Chest,金合欢木运输船
pale_oak_boat,Pale Oak Boat,苍白橡木船
pale_oak_chest_boat,Pale Oak Boat with Chest,苍白橡木运输船
birch_boat,Birch Boat,白桦木船
birch_chest_boat,Birch Boat with Chest,白桦木运输船
oak_boat,Oak Boat,橡木船
oak_chest_boat,Oak Boat with Chest,橡木运输船
jungle_boat,Jungle Boat,丛林木船
jungle_chest_boat,Jungle Boat with Chest,丛林木运输船
spruce_boat,Spruce Boat,云杉木船
spruce_chest_boat,Spruce Boat with Chest,云杉木运输船
dark_oak_boat,Dark Oak Boat,深色橡木船
dark_oak_chest_boat,Dark Oak Boat with Chest,深色橡木运输船
mangrove_boat,Mangrove Boat,红树木船
mangrove_chest_boat,Mangrove Boat with Chest,红树木运输船
bamboo_raft,Bamboo Raft,竹筏
bamboo_chest_raft,Bamboo Raft with Chest,运输竹筏
,,
player,Player,玩家
armor_stand,Armor Stand,盔甲架
allay,Allay,悦灵
armadillo,Armadillo,犰狳
axolotl,Axolotl,美西螈
bat,Bat,蝙蝠
bee,Bee,蜜蜂
blaze,Blaze,烈焰人
bogged,Bogged,沼骸
breeze,Breeze,旋风人
camel,Camel,骆驼
cat,Cat,猫
cave_spider,Cave Spider,洞穴蜘蛛
chest_boat,Boat with Chest,运输船
chicken,Chicken,鸡
cod,Cod,鳕鱼
cow,Cow,牛
creaking,Creaking,嘎枝
creaking_transient,Creaking,嘎枝
creeper,Creeper,苦力怕
dolphin,Dolphin,海豚
donkey,Donkey,驴
drowned,Drowned,溺尸
elder_guardian,Elder Guardian,远古守卫者
ender_dragon,Ender Dragon,末影龙
enderman,Enderman,末影人
endermite,Endermite,末影螨
evoker,Evoker,唤魔者
fox,Fox,狐狸
frog,Frog,青蛙
ghast,Ghast,恶魂
giant,Giant,巨人
glow_squid,Glow Squid,发光鱿鱼
goat,Goat,山羊
guardian,Guardian,守卫者
happy_ghast,Happy Ghast,快乐恶魂
hoglin,Hoglin,疣猪兽
horse,Horse,马
husk,Husk,尸壳
illusioner,Illusioner,幻术师
iron_golem,Iron Golem,铁傀儡
killer_bunny,The Killer Bunny,杀手兔
llama,Llama,羊驼
magma_cube,Magma Cube,岩浆怪
mooshroom,Mooshroom,哞菇
mule,Mule,骡
ocelot,Ocelot,豹猫
panda,Panda,熊猫
parrot,Parrot,鹦鹉
phantom,Phantom,幻翼
pig,Pig,猪
piglin,Piglin,猪灵
piglin_brute,Piglin Brute,猪灵蛮兵
pillager,Pillager,掠夺者
polar_bear,Polar Bear,北极熊
pufferfish,Pufferfish,河豚
rabbit,Rabbit,兔子
ravager,Ravager,劫掠兽
salmon,Salmon,鲑鱼
sheep,Sheep,绵羊
shulker,Shulker,潜影贝
silverfish,Silverfish,蠹虫
skeleton,Skeleton,骷髅
skeleton_horse,Skeleton Horse,骷髅马
slime,Slime,史莱姆
sniffer,Sniffer,嗅探兽
snow_golem,Snow Golem,雪傀儡
spider,Spider,蜘蛛
squid,Squid,鱿鱼
stray,Stray,流浪者
strider,Strider,炽足兽
tadpole,Tadpole,蝌蚪
trader_llama,Trader Llama,行商羊驼
tropical_fish,Tropical Fish,热带鱼
turtle,Turtle,海龟
vex,Vex,恼鬼
villager,Villager,村民
vindicator,Vindicator,卫道士
wandering_trader,Wandering Trader,流浪商人
warden,Warden,监守者
witch,Witch,女巫
wither,Wither,凋灵
wither_skeleton,Wither Skeleton,凋灵骷髅
wolf,Wolf,狼
zoglin,Zoglin,僵尸疣猪兽
zombie,Zombie,僵尸
zombie_horse,Zombie Horse,僵尸马
zombie_villager,Zombie Villager,僵尸村民
zombified_piglin,Zombified Piglin,僵尸猪灵
,,
lightning_bolt,Lightning Bolt,闪电束
falling_block,Falling Block,下落的方块
falling_block_type,Falling %s,下落的%s
end_crystal,End Crystal,末地水晶
area_effect_cloud,Area Effect Cloud,区域效果云
experience_orb,Experience Orb,经验球
item_frame,Item Frame,物品展示框
glow_item_frame,Glow Item Frame,荧光物品展示框
painting,Painting,画
leash_knot,Leash Knot,拴绳结
tnt,Primed TNT,被激活的TNT
interaction,Interaction,交互实体
block_display,Block Display,方块展示实体
item_display,Item Display,物品展示实体
text_display,Text Display,文本展示实体
item,Item,物品
marker,Marker,标记
firework_rocket,Firework Rocket,烟花火箭
arrow,Arrow,箭
spectral_arrow,Spectral Arrow,光灵箭
trident,Trident,三叉戟
shulker_bullet,Shulker Bullet,潜影弹
fishing_bobber,Fishing Bobber,浮漂
llama_spit,Llama Spit,羊驼唾沫
small_fireball,Small Fireball,小火球
fireball,Fireball,火球
dragon_fireball,Dragon Fireball,末影龙火球
wind_charge,Wind Charge,风弹
breeze_wind_charge,Wind Charge,风弹
wither_skull,Wither Skull,凋灵之首
egg,Thrown Egg,掷出的鸡蛋
ender_pearl,Thrown Ender Pearl,掷出的末影珍珠
experience_bottle,Thrown Bottle o' Enchanting,掷出的附魔之瓶
snowball,Snowball,雪球
potion,Potion,药水
splash_potion,Splash Potion,喷溅药水
lingering_potion,Lingering Potion,滞留药水
